Currency,Type,International,Anticipation,Money,Quantity
0,1,0,41,$129.00,1
0,1,0,56,$376.00,4
0,1,0,58,$206.00,2
0,1,0,63,$222.00,2
0,1,0,82,$259.00,1
0,1,0,12,$344.00,4
0,1,0,13,$917.00,8
0,1,0,14,$270.00,2
0,1,0,15,"$2,748.00",24
0,1,0,16,"$2,857.00",24
0,1,0,17,"$4,093.00",35
0,1,0,18,"$3,195.00",29
0,1,0,19,"$4,968.00",44
0,1,0,20,"$5,213.00",49
0,1,0,21,"$4,511.00",40
0,1,0,22,"$9,406.00",86
0,1,0,23,"$4,956.00",46
0,1,0,24,"$9,488.00",86
0,1,0,25,"$7,388.00",61
0,1,0,26,"$8,076.00",72
0,1,0,27,"$5,640.00",51
0,1,0,28,"$5,516.00",50
0,1,0,29,"$8,140.00",75
0,1,0,30,"$4,139.00",38
0,1,0,31,"$5,979.00",52
0,1,0,32,"$9,348.00",82
0,1,0,33,"$6,150.00",54
0,1,0,34,"$3,623.00",32
0,1,0,35,"$5,190.00",50
0,1,0,36,"$6,359.00",56
0,1,0,37,"$4,752.00",44
0,1,0,38,"$7,474.00",68
0,1,0,39,"$9,597.00",83
0,1,0,40,"$6,943.00",64
0,1,0,41,"$5,047.00",45
0,1,0,42,"$5,939.00",53
0,1,0,43,"$3,711.00",37
0,1,0,44,"$4,925.00",48
0,1,0,45,"$4,089.00",38
0,1,0,46,"$3,372.00",35
0,1,0,47,"$6,615.00",57
0,1,0,48,"$8,525.00",81
0,1,0,49,"$5,378.00",52
0,1,0,50,"$3,733.00",36
0,1,0,51,"$5,247.00",48
0,1,0,52,"$5,109.00",50
0,1,0,53,"$3,777.00",34
0,1,0,54,"$4,331.00",40
0,1,0,55,"$4,897.00",48
0,1,0,56,"$3,307.00",31
0,1,0,57,"$3,909.00",37
0,1,0,58,"$2,248.00",22
0,1,0,59,"$2,791.00",28
0,1,0,60,"$4,572.00",47
0,1,0,61,"$5,208.00",49
0,1,0,62,"$3,187.00",32
0,1,0,63,"$2,284.00",22
0,1,0,64,"$1,074.00",11
0,1,0,65,"$3,635.00",35
0,1,0,66,"$1,657.00",16
0,1,0,67,"$3,977.00",39
0,1,0,68,"$3,008.00",29
0,1,0,69,"$5,834.00",56
0,1,0,70,"$2,105.00",22
0,1,0,71,$894.00,10
0,1,0,72,"$3,764.00",38
0,1,0,73,"$3,919.00",41
0,1,0,74,"$2,328.00",24
